CLICK_DATE|EVENT_ID|USER_ID|USERAGENT|BROWSER_VENDOR BROWSER_NAME - VERSION|HARDWARE_MODEL|ACCOUNT_ID|TIMING|PPC|DATE
2021-03-18 08:11:02|af3878c9d83e12f07438b0a6|10898|Mozilla/5.0 (Linux; Android 9; SM-A102U) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.181 Mobile Safari/537.36|Google Chrome Mobile-85|SM-A102U|2509.0|9|0.0|2021-03-18
2021-03-18 08:11:02|f84e639053ef5f78a85be14e|10954|Mozilla/5.0 (Linux; Android 10; A508DL) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Mobile Safari/537.36|Google Chrome Mobile-86|A508DL|2509.0|8|0.0|2021-03-18
2021-03-18 08:11:02|1ebdbd9e7dec4c0bdfca70d4|10387|Mozilla/5.0 (Linux; Android 10; SM-A215U) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.99 Mobile Safari/537.36|Google Chrome Mobile-80|SM-A215U|833.0|9|0.0|2021-03-18
2021-03-18 08:11:03|c6d6c8e1d104fa9144ab5537|10828|Mozilla/5.0 (Linux; Android 10; SM-A015T1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Mobile Safari/537.36|Google Chrome Mobile-86|SM-A015T1|833.0|7|0.0|2021-03-18
2021-03-18 08:11:03|1f02d17432e9bcd50b05bcac|10784|Mozilla/5.0 (Linux; Android 10; LM-Q730) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.72 Mobile Safari/537.36|Google Chrome Mobile-86|LM-Q730|63448.0|8|0.0|2021-03-18
2021-03-18 08:11:03|ae2bc5e283ea6ff63209e521|10249|Mozilla/5.0 (Linux; Android 9; LM-Q720) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Mobile Safari/537.36|Google Chrome Mobile-80|LM-Q720|58116.0|8|0.0|2021-03-18
2021-03-18 08:11:04|194d82c2964327e668e44e48|11045|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36|Google Chrome-88|Unknown|63850.0|8|0.08|2021-03-18
2021-03-18 08:11:04|9939620bf2968ed334244919|11244|Mozilla/5.0 (X11; CrOS x86_64 13597.105.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.208 Safari/537.36|Google Chrome-80|Unknown|63314.0|8|0.0|2021-03-18
2021-03-18 08:11:05|78907876594f14bc8016a4b2|10935|Mozilla/5.0 (Linux; Android 8.1.0; 9027W) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.86 Mobile Safari/537.36|Google Chrome Mobile-86|9027W|2509.0|9|0.0|2021-03-18
2021-03-18 08:11:05|31154fd7d325bdc7ed3f6370|11329|Mozilla/5.0 (X11; CrOS x86_64 13597.105.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.208 Safari/537.36|Google Chrome-80|Unknown|63314.0|7|0.15|2021-03-18
2021-03-18 08:11:05|5d92ab48fcb45bd827a8b058|10937|Mozilla/5.0 (Linux; Android 9; SM-A102U) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Mobile Safari/537.36|Google Chrome Mobile-86|SM-A102U|63448.0|10|0.13|2021-03-18
2021-03-18 08:11:06|78af706c67ee5c90642d8bc1|11325|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36|Google Chrome-88|Unknown|63542.0|6|0.0|2021-03-18
2021-03-18 08:11:06|a885bdcafc8ef0d19ae4be36|10953|Mozilla/5.0 (Linux; Android 8.1.0; A502DL) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Mobile Safari/537.36|Google Chrome Mobile-70|A502DL|58201.0|6|0.0|2021-03-18
2021-03-18 08:11:07|7d27b4b700e3d9496991a13f|11311|Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.82 Safari/537.36|Google Chrome-87|Unknown|63542.0|8|0.01305|2021-03-18
2021-03-18 08:11:07|2c7a20959ec11fd3b0708911|11212|Mozilla/5.0 (Linux; Android 7.1.1; Moto E (4) Plus) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Mobile Safari/537.36|Google Chrome Mobile-86|Moto E Plus (4th Gen.)|63853.0|6|0.0|2021-03-18
2021-03-18 08:11:07|2123e636ab207db4276e307c|11311|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36|Google Chrome-88|Unknown|63314.0|11|0.0|2021-03-18
2021-03-18 08:11:07|7f1a805f545e9dd11d8e90cd|10046|Mozilla/5.0 (Linux; Android 8.1.0; 5041C) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Mobile Safari/537.36|Google Chrome Mobile-76|5041C|63448.0|20|0.07|2021-03-18
2021-03-18 08:11:07|baffbefd970d6e787ea1714d|10958|Mozilla/5.0 (Linux; Android 9; SM-A102U) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.136 Mobile Safari/537.36|Google Chrome Mobile-74|SM-A102U|2509.0|6|0.0|2021-03-18
2021-03-18 08:11:08|d9a06abecf2ebdc8cb9a0074|11579|Mozilla/5.0 (Linux; Android 9; moto z3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Mobile Safari/537.36|Google Chrome Mobile-86|moto z (3rd Gen.)|63355.0|7|0.0|2021-03-18
2021-03-18 08:11:08|3ce722a72495802133660bc0|10951|Mozilla/5.0 (Linux; Android 8.1.0; SM-J260T1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.86 Mobile Safari/537.36|Google Chrome Mobile-86|SM-J260T1|2509.0|12|0.0|2021-03-18
2021-03-18 08:11:08|fc8960234990d105cbf791d5|10693|Mozilla/5.0 (Linux; Android 9; SM-A102U) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.136 Mobile Safari/537.36|Google Chrome Mobile-74|SM-A102U|63448.0|7|0.13|2021-03-18
2021-03-18 08:11:08|12eb7b82af33482a89d534d9|11325|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36|Google Chrome-88|Unknown|63542.0|10|0.02|2021-03-18
2021-03-18 08:11:08|dbb586a20884f61871ccc12f|10935|Mozilla/5.0 (Linux; Android 8.1.0; 9027W) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.86 Mobile Safari/537.36|Google Chrome Mobile-86|9027W|2509.0|8|0.0|2021-03-18
2021-03-18 08:11:08|068f4d0c435bfb53077ea167|10937|Mozilla/5.0 (Linux; Android 10; LGL555DL) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.181 Mobile Safari/537.36|Google Chrome Mobile-85|Generic Android|2509.0|10|0.0|2021-03-18
2021-03-18 08:11:08|3e6eb140ac5169104933cb2c|10901|Mozilla/5.0 (Linux; Android 9; LGL322DL) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Mobile Safari/537.36|Google Chrome Mobile-85|L322DL|63448.0|7|0.0|2021-03-18
2021-03-18 08:11:09|e917db3f8b7b04bcdddf4f82|11210|Mozilla/5.0 (Linux; Android 9; U304AA) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.92 Mobile Safari/537.36|Google Chrome Mobile-77|U304AA|63448.0|7|0.13|2021-03-18
2021-03-18 08:11:09|d7c649d280b3ed49cc1d5c5b|11325|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36|Google Chrome-88|Unknown|63542.0|7|0.11|2021-03-18
2021-03-18 08:11:09|d7217145fa6f76df1861ab53|10935|Mozilla/5.0 (Linux; Android 8.1.0; 9027W) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.86 Mobile Safari/537.36|Google Chrome Mobile-86|9027W|2509.0|8|0.0|2021-03-18
2021-03-18 08:11:09|b5a2f6c6893933f9417207cf|10953|Mozilla/5.0 (Linux; Android 10; SM-A515U) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Mobile Safari/537.36|Google Chrome Mobile-86|SM-A515U|58201.0|6|0.0|2021-03-18
2021-03-18 08:11:09|97861197159c285e45a6efe1|11329|Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.190 Safari/537.36|Google Chrome-88|Unknown|63542.0|6|0.02|2021-03-18
